,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Monthly Income,Debt-to-Income Ratio,Credit Utilization Ratio
0,Fully Paid,445412.0,Short Term,709.0,1167493.0,7-9 years,Home Mortgage,Big Purchase,5214.74,17.2,6.0,1.0,228190.0,416746.0,1.0,0.0,97291.08333333333,0.053599362051849564,0.5475517461475335
3,Fully Paid,347666.0,Long Term,721.0,806949.0,2-3 years,Own Home,Debt Consolidation,8741.9,12.0,9.0,0.0,256329.0,386958.0,0.0,0.0,67245.75,0.12999929363565726,0.6624207278309274
6,Fully Paid,217646.0,Short Term,730.0,1184194.0,0-1 year,Home Mortgage,Debt Consolidation,10855.08,19.6,13.0,1.0,122170.0,272052.0,1.0,0.0,98682.83333333333,0.10999967910663287,0.4490685604222722
8,Fully Paid,548746.0,Short Term,678.0,2559110.0,2-3 years,Rent,Debt Consolidation,18660.28,22.6,4.0,0.0,437171.0,555038.0,0.0,0.0,213259.16666666666,0.0875004825896503,0.7876415668837089
9,Fully Paid,215952.0,Short Term,739.0,1454735.0,0-1 year,Rent,Debt Consolidation,39277.75,13.9,20.0,0.0,669560.0,1021460.0,0.0,0.0,121227.91666666667,0.3239992163521191,0.6554931176942808
14,Fully Paid,234124.0,Short Term,727.0,693234.0,10+ years,Rent,Debt Consolidation,14211.24,24.7,10.0,1.0,28291.0,107052.0,1.0,0.0,57769.5,0.2459990133201776,0.26427343720808577
17,Fully Paid,666204.0,Long Term,723.0,1821967.0,10+ years,Home Mortgage,Debt Consolidation,17612.24,22.0,15.0,0.0,813694.0,2004618.0,0.0,0.0,151830.58333333334,0.1159992908762892,0.40590975437714316
19,Fully Paid,390390.0,Short Term,747.0,1791738.0,7-9 years,Home Mortgage,Big Purchase,2478.55,22.7,6.0,0.0,121182.0,801812.0,0.0,0.0,149311.5,0.016599860024177644,0.15113517881997277
20,Charged Off,317108.0,Long Term,687.0,1133274.0,7-9 years,Rent,Debt Consolidation,9632.81,17.4,4.0,0.0,60287.0,126940.0,0.0,0.0,94439.5,0.10199979881299667,0.474925161493619
21,Fully Paid,128238.0,Short Term,750.0,1354073.0,0-1 year,Rent,Debt Consolidation,13202.15,11.9,7.0,0.0,131936.0,458788.0,0.0,0.0,112839.41666666667,0.11699945276214797,0.2875750891479289
22,Charged Off,153252.0,Short Term,714.0,1890690.0,2-3 years,Rent,Debt Consolidation,21900.35,15.7,12.0,0.0,891594.0,1081014.0,0.0,0.0,157557.5,0.13899909556828458,0.8040318383845896
23,Fully Paid,91894.0,Short Term,724.0,850383.0,10+ years,Home Mortgage,Debt Consolidation,5860.74,17.5,7.0,0.0,95608.0,230626.0,0.0,0.0,70865.25,0.08270259400764125,0.41455863606011467
24,Fully Paid,244926.0,Long Term,704.0,1249953.0,4-6 years,Home Mortgage,Debt Consolidation,6812.26,14.4,6.0,1.0,143051.0,245014.0,0.0,1.0,104162.75,0.06540015504582973,0.5838482698947816
25,Fully Paid,465410.0,Long Term,688.0,1722654.0,2-3 years,Rent,Big Purchase,15647.45,22.3,7.0,0.0,107559.0,488356.0,0.0,0.0,143554.5,0.10900006617695719,0.220247114809688
27,Fully Paid,443960.0,Short Term,749.0,1432391.0,2-3 years,Home Mortgage,Debt Consolidation,25186.21,14.0,15.0,0.0,342475.0,905344.0,0.0,0.0,119365.91666666667,0.2110000132645346,0.37828162554785805
31,Fully Paid,334620.0,Short Term,729.0,1348620.0,2-3 years,Rent,Debt Consolidation,16913.99,20.0,16.0,0.0,313177.0,539616.0,0.0,0.0,112385.0,0.15050042265426883,0.5803701150447725
